url_detalle,titulo,autor,isbn,precio,descripcion,info_adicional,portada_url,editorial,idioma,paginas,dimensiones,peso,fecha_publicacion,categoria,moneda,encuadernacion
https://www.casadellibro.com/libro-oxford-read-and-discover-5-homes-around-world-audio-pack/9780194644976/2551674,OXFORD READ AND DISCOVER 5 HOMES AROUND WORLD AUDIO PACK,Varios autores,9780194644976,6.55,,"{""Editorial"": ""Oxford University Press"", ""ISBN"": ""9780194644976"", ""Idioma"": ""Inglés"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""18/05/2015"", ""Año de edición"": ""2015"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Lecturas graduadas en inglés""], ""editorial"": ""Oxford University Press"", ""idioma"": ""Inglés"", ""fecha_publicacion"": ""18/05/2015"", ""categoria"": ""Lecturas graduadas en inglés""}",https://imagessl8.casadellibro.com/a/l/t5/76/9780194644976.jpg,Oxford University Press,Inglés,,,,18/05/2015,Lecturas graduadas en inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-read-and-discover-level-5-wild-weather-ab/9780194645089/1780358,READ AND DISCOVER LEVEL 5 WILD WEATHER AB,Varios autores,9780194645089,3.99,"The Wild Weather Activity Book provides: Additional reading, writing, and grammar practice for each chapter of the reader Consolidation activities A book review Answers to the activities can be found on the teacher's website","{""Editorial"": ""Oxford University Press España, S.A."", ""ISBN"": ""9780194645089"", ""Idioma"": ""Inglés"", ""Número de páginas"": ""24"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""31/08/2010"", ""Año de edición"": ""2010"", ""Plaza de edición"": ""Gb"", ""Colección"": ""Oxford Read and Discover"", ""Alto"": ""21.0 cm"", ""Ancho"": ""14.8 cm"", ""Peso"": ""50.0 gr"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Lecturas graduadas en inglés""], ""editorial"": ""Oxford University Press España, S.A."", ""idioma"": ""Inglés"", ""paginas"": ""24"", ""fecha_publicacion"": ""31/08/2010"", ""categoria"": ""Lecturas graduadas en inglés""}",https://imagessl2.casadellibro.com/a/l/t5/89/9780194645089.jpg,"Oxford University Press España, S.A.",Inglés,24,,50.0 gr,31/08/2010,Lecturas graduadas en inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-oxford-read-amp-discover-5-medicine-then-and-now-activity-book/9780194645164/1946724,OXFORD READ & DISCOVER 5 MEDICINE THEN AND NOW ACTIVITY BOOK,Varios autores,9780194645164,4.18,Read and discover all about medicine in the past and medicine today ... What was the world's first antibiotic? What medicine can cure malaria?,"{""Editorial"": ""Oxford University Press España, S.A."", ""ISBN"": ""9780194645164"", ""Idioma"": ""Inglés"", ""Número de páginas"": ""24"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""15/11/2011"", ""Año de edición"": ""2011"", ""Plaza de edición"": ""Gb"", ""Colección"": ""Oxford Read and Discover"", ""Alto"": ""21.0 cm"", ""Ancho"": ""14.8 cm"", ""Peso"": ""45.0 gr"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Lecturas graduadas en inglés""], ""editorial"": ""Oxford University Press España, S.A."", ""idioma"": ""Inglés"", ""paginas"": ""24"", ""fecha_publicacion"": ""15/11/2011"", ""categoria"": ""Lecturas graduadas en inglés""}",https://imagessl3.casadellibro.com/a/l/t5/64/9780194645164.jpg,"Oxford University Press España, S.A.",Inglés,24,,45.0 gr,15/11/2011,Lecturas graduadas en inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-family-amp-friends-second-edition-1-workbook/9780194808026/12831474,"FAMILY & FRIENDS, SECOND EDITION: 1 WORKBOOK",.,9780194808026,,,"{""encuadernacion"": ""Otros"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Autoayuda y Espiritualidad"", ""Literatura nueva era""], ""categoria"": ""Literatura nueva era""}",https://imagessl7.casadellibro.com/a/l/t1/defecto2.jpg,,,,,,,Literatura nueva era,EUR,Otros
https://www.casadellibro.com/libro-oxford-read-and-discover-3-wonderful-water-activity-book/9780194643863/1700126,OXFORD READ AND DISCOVER 3 WONDERFUL WATER ACTIVITY BOOK,Varios autores,9780194643863,3.99,"This exciting new series of non-fiction readers provides interesting and educational content, with activities and project work. The readers are graded at four levels, from 3 to 6, suitable for students from age 8 and older. They can support Content and Language Integrated Learning (CLIL), and cover a broad range of topics, within three curriculum areas: * The World of Science and Technology * The Natural World * The World of Arts and Social Studies Also available for each reader: * Activity Book * Audio CD Pack (Reader & Audio CD)","{""Editorial"": ""Oxford University Press España, S.A."", ""ISBN"": ""9780194643863"", ""Idioma"": ""Inglés"", ""Número de páginas"": ""16"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""11/03/2010"", ""Año de edición"": ""2010"", ""Plaza de edición"": ""Gb"", ""Colección"": ""Oxford Read and Discover"", ""Alto"": ""21.0 cm"", ""Ancho"": ""14.8 cm"", ""Peso"": ""35.0 gr"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Lecturas graduadas en inglés""], ""editorial"": ""Oxford University Press España, S.A."", ""idioma"": ""Inglés"", ""paginas"": ""16"", ""fecha_publicacion"": ""11/03/2010"", ""categoria"": ""Lecturas graduadas en inglés""}",https://imagessl0.casadellibro.com/a/l/t5/63/9780194643863.jpg,"Oxford University Press España, S.A.",Inglés,16,,35.0 gr,11/03/2010,Lecturas graduadas en inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-oxford-read-and-discover-3-life-in-the-rainforests-activity-book/9780194643900/1841605,OXFORD READ AND DISCOVER 3 LIFE IN THE RAINFORESTS ACTIVITY BOOK,Wole Soyinka,9780194643900,3.99,"These motivating non-fiction readers are rich in content and beautifully illustrated. Fascinating information in carefully graded language appeals to a broad range of students and supports English across the curriculum, making the series perfect for CLIL (Content and Language Integrated Learning). Stunning colour photos, maps, diagrams and charts support understanding, while activities and projects develop language and critical thinking skills.","{""Editorial"": ""Oxford University Press España, S.A."", ""ISBN"": ""9780194643900"", ""Idioma"": ""Inglés"", ""Número de páginas"": ""16"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""10/03/2011"", ""Año de edición"": ""2011"", ""Plaza de edición"": ""Gb"", ""Colección"": ""Oxford Read and Discover"", ""Alto"": ""21.0 cm"", ""Ancho"": ""14.8 cm"", ""Peso"": ""35.0 gr"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Lecturas graduadas en inglés""], ""editorial"": ""Oxford University Press España, S.A."", ""idioma"": ""Inglés"", ""paginas"": ""16"", ""fecha_publicacion"": ""10/03/2011"", ""categoria"": ""Lecturas graduadas en inglés""}",https://imagessl0.casadellibro.com/a/l/t5/00/9780194643900.jpg,"Oxford University Press España, S.A.",Inglés,16,,35.0 gr,10/03/2011,Lecturas graduadas en inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-obwl-3e-level-1-the-elephant-man/9780194789042/12831434,OBWL 3E LEVEL 1: THE ELEPHANT MAN,.,9780194789042,,,"{""encuadernacion"": ""Otros"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Autoayuda y Espiritualidad"", ""Literatura nueva era""], ""categoria"": ""Literatura nueva era""}",https://imagessl7.casadellibro.com/a/l/t1/defecto2.jpg,,,,,,,Literatura nueva era,EUR,Otros
https://www.casadellibro.com/libro-family-amp-friends-5-cb-amp-m-rom-pk-int/9780194802949/1776806,FAMILY & FRIENDS 5 CB & M-ROM PK (INT),Varios autores,9780194802949,25.55,"An exceptionally strong skills training programme which covers language skills, phonics, and civic education skills. Overview: This six-level course offers a fast-paced syllabus and a wide range of optional resources to support a high number of teaching hours per week. The series starts with an optional pre-school course, First Friends , before children move on to Family and Friends.","{""Editorial"": ""Oxford University Press"", ""ISBN"": ""9780194802949"", ""Idioma"": ""Inglés"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""04/08/2010"", ""Año de edición"": ""2010"", ""Plaza de edición"": ""Gb"", ""Peso"": ""380.0 gr"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Métodos y material de inglés""], ""editorial"": ""Oxford University Press"", ""idioma"": ""Inglés"", ""fecha_publicacion"": ""04/08/2010"", ""categoria"": ""Métodos y material de inglés""}",https://imagessl5.casadellibro.com/a/l/t5/49/9780194802949.jpg,Oxford University Press,Inglés,,,380.0 gr,04/08/2010,Métodos y material de inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-family-amp-friends-6-prisoner-of-zenda/9780194802994/5480695,FAMILY & FRIENDS 6 PRISONER OF ZENDA,Varios autores,9780194802994,8.74,"The prisioner of zenda es un libro del autor VV.AA editado por OXFORD. The prisioner of zenda tiene un código de ISBN 978-0-19-480299-4, de la colección FAMILY AND FRIENDS READERS (PRIMARY).","{""Editorial"": ""Oxford University Press"", ""ISBN"": ""9780194802994"", ""Idioma"": ""Inglés"", ""Número de páginas"": ""60"", ""Encuadernación"": ""Tapa blanda"", ""Fecha de lanzamiento"": ""24/04/2019"", ""Año de edición"": ""2013"", ""Plaza de edición"": ""Gb"", ""Peso"": ""100.0 gr"", ""encuadernacion"": ""Tapa blanda"", ""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Idiomas"", ""Inglés"", ""Lecturas graduadas en inglés""], ""editorial"": ""Oxford University Press"", ""idioma"": ""Inglés"", ""paginas"": ""60"", ""fecha_publicacion"": ""24/04/2019"", ""categoria"": ""Lecturas graduadas en inglés""}",https://imagessl6.casadellibro.com/a/l/t5/94/9780194802994.jpg,Oxford University Press,Inglés,60,,100.0 gr,24/04/2019,Lecturas graduadas en inglés,EUR,Tapa blanda
https://www.casadellibro.com/libro-life-vision-pre-intermediate-workbook/9780194063067/13229946,LIFE VISION PRE-INTERMEDIATE WORKBOOK,VV.AA.,9780194063067,,"Life vision pre-intermediate workbook es un libro del autor editado por OXFORD UNIVERSITY PRESS. Life vision pre-intermediate workbook tiene un código de ISBN 978-0-19-406306-7, de la colección LIFE VISION.","{""moneda"": ""EUR"", ""categoria_path"": [""Libros"", ""Literatura"", ""Novela histórica""], ""categoria"": ""Novela histórica""}",https://imagessl0.casadellibro.com/a/l/t5/67/9780194063067.jpg,,,,,,,Novela histórica,EUR,
