query_raw,isbn_archivo,titulo_archivo,isbn_bookpeople,titulo_bookpeople,autor_bookpeople,precio_bookpeople,moneda_bookpeople,url_bookpeople,imagen_bookpeople,paginas_bookpeople,encuadernacion_bookpeople,editorial_bookpeople,fecha_publicacion_bookpeople,fecha_publicacion_iso_bookpeople,descripcion_bookpeople,acerca_autor_bookpeople,descripcion_raw_html_bookpeople,isbn_match,titulo_match_estricto,titulo_match_relajado,similitud_titulo,motivo_seleccion
9789814822008,9789814822008,,9789814822008,Matematicas Al Maximo Kindergarten Texto del Estudiante a,Scholastic,15.0,USD,https://www.bookpeople.com/book/9789814822008,https://images.booksense.com/images/008/822/9789814822008.jpg,180,Paperback,Scholastic Inc.,"December 8th, 2017",2017-12-08,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9789814822022,9789814822022,,9789814822022,Matematicas Al Maximo Kindergarten Texto del Estudiante B,Scholastic,15.0,USD,https://www.bookpeople.com/book/9789814822022,https://images.booksense.com/images/022/822/9789814822022.jpg,188,Paperback,Scholastic Inc.,"December 8th, 2017",2017-12-08,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194906944,9780194906944,,9780194906944,American English File 3e Multipack 4a Pack,Oxford University Press,45.1,USD,https://www.bookpeople.com/book/9780194906944,https://images.booksense.com/images/944/906/9780194906944.jpg,0,Paperback,"Oxford University Press, USA","August 1st, 2020",2020-08-01,"Description
New and updated texts, topics, and listenings based on feedback from American English File teachers.
New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
FROM THE PUBLISHER
How will American English File Third Edition get your students talking?
Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>New and updated texts, topics, and listenings based on feedback from American English File teachers.
</p>
<p>New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
</p>
<p>New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
</p>
<p>New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
</p>
<p>New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
</p>
<p>New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
</p>
<p>New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
</p>
<p>FROM THE PUBLISHER
</p>
<p>How will American English File Third Edition get your students talking?
</p>
<p>Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
</p>
<p>Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
</p>
<p>Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194906753,9780194906753,,9780194906753,American English File Level 3 Student Book/Workbook Multi-Pack B with Online Practice,Oxford University Press,45.1,USD,https://www.bookpeople.com/book/9780194906753,https://images.booksense.com/images/753/906/9780194906753.jpg,0,Paperback,Oxford University Press,"August 1st, 2020",2020-08-01,"Description
New and updated texts, topics, and listenings based on feedback from American English File teachers.
New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
FROM THE PUBLISHER
How will American English File Third Edition get your students talking?
Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>New and updated texts, topics, and listenings based on feedback from American English File teachers.
</p>
<p>New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
</p>
<p>New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
</p>
<p>New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
</p>
<p>New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
</p>
<p>New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
</p>
<p>New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
</p>
<p>FROM THE PUBLISHER
</p>
<p>How will American English File Third Edition get your students talking?
</p>
<p>Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
</p>
<p>Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
</p>
<p>Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194906982,9780194906982,,9780194906982,American English File 3e Multipack 4b Pack,Oxford University Press,45.1,USD,https://www.bookpeople.com/book/9780194906982,https://images.booksense.com/images/982/906/9780194906982.jpg,0,Paperback,"Oxford University Press, USA","August 1st, 2020",2020-08-01,"Description
New and updated texts, topics, and listenings based on feedback from American English File teachers.
New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
FROM THE PUBLISHER
How will American English File Third Edition get your students talking?
Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>New and updated texts, topics, and listenings based on feedback from American English File teachers.
</p>
<p>New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
</p>
<p>New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
</p>
<p>New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
</p>
<p>New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
</p>
<p>New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
</p>
<p>New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
</p>
<p>FROM THE PUBLISHER
</p>
<p>How will American English File Third Edition get your students talking?
</p>
<p>Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
</p>
<p>Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
</p>
<p>Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194907170,9780194907170,,9780194907170,American English File 3e Multipack 5a Pack,Oxford University Press,45.1,USD,https://www.bookpeople.com/book/9780194907170,https://images.booksense.com/images/170/907/9780194907170.jpg,0,Paperback,"Oxford University Press, USA","August 1st, 2020",2020-08-01,"Description
New and updated texts, topics, and listenings based on feedback from American English File teachers.
New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
FROM THE PUBLISHER
How will American English File Third Edition get your students talking?
Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>New and updated texts, topics, and listenings based on feedback from American English File teachers.
</p>
<p>New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
</p>
<p>New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
</p>
<p>New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
</p>
<p>New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
</p>
<p>New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
</p>
<p>New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
</p>
<p>FROM THE PUBLISHER
</p>
<p>How will American English File Third Edition get your students talking?
</p>
<p>Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
</p>
<p>Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
</p>
<p>Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194907217,9780194907217,,9780194907217,American English File 3e Multipack 5b Pack,Oxford University Press,45.1,USD,https://www.bookpeople.com/book/9780194907217,https://images.booksense.com/images/217/907/9780194907217.jpg,0,Paperback,"Oxford University Press, USA","August 1st, 2020",2020-08-01,"Description
New and updated texts, topics, and listenings based on feedback from American English File teachers.
New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
FROM THE PUBLISHER
How will American English File Third Edition get your students talking?
Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.",,"<div class=""product-details__desc""><h2 class=""product-details__heading"">Description</h2>
<p>New and updated texts, topics, and listenings based on feedback from American English File teachers.
</p>
<p>New Teacher Resource Center allows you to manage all course resources and teaching materials in one place online.
</p>
<p>New video listening activity integrated into each even-numbered File. These short documentaries and dramas make class time more dynamic and exciting.
</p>
<p>New Classroom Presentation Tool shows course content on screen, making it easier than ever for teachers to deliver heads-up, engaging lessons.
</p>
<p>New Online Practice provides learners with extra practice activities for each File and allows them to check their progress.
</p>
<p>New Sound Bank videos provide a unique opportunity to watch and listen to a clear model of the English sounds.
</p>
<p>New interactive videos enable students to listen and record themselves as part of the Rob and Jenny drama.
</p>
<p>FROM THE PUBLISHER
</p>
<p>How will American English File Third Edition get your students talking?
</p>
<p>Lessons and activities that provide the necessary language, motivation, and opportunity for students to talk with confidence.
</p>
<p>Learners build confidence to communicate with a proven balance of Grammar, Vocabulary, Pronunciation, and Skills Development in every File.
</p>
<p>Teachers and students have access to all their American English File resources - video, audio, worksheets and much more - in one easy-to-manage place.</p>
</div>",True,False,False,0.0,"ISBN exacto, URL directa"
9780194796385,9780194796385,,9780194796385,American English File 2e 5b Multipack 2019,,45.1,USD,https://www.bookpeople.com/book/9780194796385,https://images.booksense.com/images/385/796/9780194796385.jpg,0,Paperback,Oxford,"July 1st, 2019",2019-07-01,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9789814629447,9789814629447,,9789814629447,Matematicas Al Maximo Cuaderno de Practica 6,Scholastic,14.0,USD,https://www.bookpeople.com/book/9789814629447,https://images.booksense.com/images/447/629/9789814629447.jpg,208,Paperback,Scholastic Inc.,"October 8th, 2013",2013-10-08,,,,True,False,False,0.0,"ISBN exacto, URL directa"
9780194906050,9780194906050,,9780194906050,American English File 3e Multipack Starter B Pack,Oxford University Press,45.1,USD,https://www.bookpeople.com/book/9780194906050,https://images.booksense.com/images/050/906/9780194906050.jpg,0,Paperback,"Oxford University Press, USA","October 15th, 2019",2019-10-15,,,,True,False,False,0.0,"ISBN exacto, URL directa"
