ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780593235508,As Cooked on TikTok: Fan favorites and recipe exclusives from more than 40 TikTok creators! A Cookbook,TikTok,Clarkson Potter,Tapa Dura,,"Description
Featuring both viral and brand-new recipes from many of the community’s most beloved TikTok food creators!
“This cookbook is full of some of TikTok’s biggest trends, displaying innovative cooking and fun dishes to make at home.”—Gordon and Tilly Ramsay, from the foreword
Bring the fun to your kitchen with some of the most popular recipes you know and love from the entertainment platform with more than one billion users globally!
Featuring over sixty recipes from more than forty food creators on the platform,
As Cooked on TikTok
offers something different and delicious on every page. There’s The Ultimate Breakfast Sandwich from The Korean Vegan, Grilled Jalapeño Corn Off the Cob from Cooking with Shereen, Ramen Carbonara from Cooking with Lynja, Bang Bang Shrimp from Newt, and Strawberry Cream Puffs from ScheckEats—plus tips and techniques from TikTok star chefs like Ming Tsai, Alex Guarnaschelli, and The Pasta Queen, among others. Each recipe has not only been tested and vetted for home kitchens, but also includes a QR code to scan so you can go straight to that creator’s page. It’s like making a meal with the creator right in your kitchen with you!",,192,,"June 14th, 2022",https://www.bookpeople.com/book/9780593235508,https://images.booksense.com/images/508/235/9780593235508.jpg,bookpeople
9781524898441,Peanuts® 2026 Wall Calendar,Peanuts Worldwide LLC,Andrews McMeel Publishing,Calendar,,"Description
For 2026, bring warmth and happiness into your home or office with the best gang in town—the PEANUTS® gang.
Whether it's a single or group pose, your favorite PEANUTS® characters are on full display in the bold and colorful PEANUTS®2026 Wall Calendar that also includes quotes! With spacious room to jot down activities, appointments or meetings, this calendar will help keep you organized and smiling throughout the year. As a special bonus, a sheet of static cling decals is included.
Other features include:
Fold-around cover design eliminates need for plastic packaging
12"" x 12"" (12"" x 24"" open)
Printed on FSC-certified paper with soy-based ink
Planning spread for September–December 2025
Spans January-December 2026
Generous grids provide space to add appointments and reminders
Official major world holidays and observations
Moon phases, based on Universal Time
A single or group pose of PEANUTS® characters and quotes appears each month
A sheet of static cling decals of the PEANUTS® characters is included",,24,,"June 24th, 2025",https://www.bookpeople.com/book/9781524898441,https://images.booksense.com/images/441/898/9781524898441.jpg,bookpeople
9781644733950,Gabo y Mercedes: una despedida / A Farewell to Gabo and Mercedes,Rodrigo Garcia Barcha,Literatura Random House,Tapa Dura,,"Description
Finalista del 2021 National Book Critics Circle 2021
La crónica íntima de los últimos días de un genio.
En marzo de 2014, Gabriel García Márquez, probablemente el escritor más querido en lengua española del siglo XX, ya anciano y enfermo, cayó resfriado. «De esta no salimos», le dijo Mercedes Barcha, su esposa desde hacía más de cincuenta años, a Rodrigo, el hijo de ambos.  Estas páginas son la crónica más íntima y honesta de los últimos días de un genio, escrita con la asombrosa precisión y la distancia justa de un testigo de excepción: el propio Rodrigo.   Así   vemos   el   lado   más   humano   de   un   personaje universal y de la mujer en la que se fijó cuando era una niña de nueve años, que   le   acompañó   toda   la   vida   y   que   apenas   le sobrevivió   unos años, entreverado de recuerdos de   una vida irrepetible. La más hermosa despedida al hijo del telegrafista y su esposa.
ENGLISH DESCRIPTION
Finalist of the 2021 National Book Critics Circle
This is the intimate account of a great genius’ last days.
In March 2014, Gabriel García Márquez, probably the most beloved Spanish language writer of the 20th century, at that time elderly and ill, came down with a cold. ""I don’t think we’ll get out of this one,"" Mercedes Barcha, his wife of over fifty years, told Rodrigo, their son. These pages are the most intimate and honest accounts of the last days of that genius’ life. It is written with amazing meticulousness and with just the right amount of distance by an exceptional witness: Rodrigo himself.
Thus we see the most human side of a universal figure and of the woman he laid his eyes on when they were both very young, the woman who accompanied him his entire life and who barely survived him for a few years after his death, peppered with memories of a unique life. This is the most beautiful farewell to the telegrapher’s son and his wife.",,144,,"June 8th, 2021",https://www.bookpeople.com/book/9781644733950,https://images.booksense.com/images/950/733/9781644733950.jpg,bookpeople
9781984824714,The Literary Witches Oracle: A 70-Card Deck and Guidebook: Oracle Cards,Taisia Kitaiskaia,Clarkson Potter,Cards,,"Description
Infuse your personal divination practice with spiritual insight and feminist guidance from icons such as Octavia Butler, Shirley Jackson, Gertrude Stein, Joy Harjo and more.
• Receive answers to questions about your creative life and spiritual journey, guided by insights from the strong, creative women featured in this deck.
• Includes 30 cards featuring prominent female writers and trailblazers as well as 40 symbol cards bearing illustrations of potent spiritual icons to enhance your reading.
• Find inspiration from literary heroes, such as Virginia Woolf and Toni Morrison, and discover the wisdom of lesser-known trailblazers, such as Yumiko Kurahashi and Mirabai.
• Use the included guidebook as an interpreter to help you interpret the cards based on your specific intentions, the writers’ dominant traits, and the spiritual symbols at play.",,70,,"August 27th, 2019",https://www.bookpeople.com/book/9781984824714,https://images.booksense.com/images/714/824/9781984824714.jpg,bookpeople
9788416327744,Naci Princesa,Regina Roman,Urano,De Bolsillo,,,,416,,"September 30th, 2019",https://www.bookpeople.com/book/9788416327744,https://images.booksense.com/images/744/327/9788416327744.jpg,bookpeople
9788417399665,Kombucha -V2*,Neil Stevens,Editorial Sirio,De Bolsillo,,,,250,,"March 5th, 2019",https://www.bookpeople.com/book/9788417399665,https://images.booksense.com/images/665/399/9788417399665.jpg,bookpeople
9788420431680,El libro de los mártires americanos / A Book of American Martyrs,Joyce Carol Oates,Alfaguara,De Bolsillo,,"Description
La monumental y polémica nueva novela de «la eterna candidata al Premio Nobel» (Elena Hevia, El Periodico de Cataluña) es una profunda reflexión sobre el aborto y la pena de muerte, pero también sobre los problemas esenciales de nuestras sociedades y de nuestras propias vidas.
Premio Ja! Bilbao 2017 por el «modernísimo humor negro» de su obra.
«En los Estados Unidos se libra una guerra religiosa por el corazón y la cabeza de los ciudadanos... de los votantes. Hay una guerra. Y en las guerras muere gente inocente.»
Dos familias norteamericanas, muy diferentes entre sí pero íntimamente conectadas: la de Luther Dunphy, un enardecido evangélico que cree actuar en nombre de Dios cuando asesina a un médico abortista en la pequeña ciudad de Ohio, y la de Augustus Voorhees, el médico idealista al que mata.
En este implacable y polémico retrato de los Estados Unidos de hoy, Oates alterna los puntos de vista de dos familias cuyas convicciones determinan sus destinos, para luego seguir las historias paralelas de las hijas: la de Dawn Dunphy, que se convierte en una boxeadora de éxito, y la de Naomi Voorhees, futura cineasta y documentalista obsesionada con el pasado. Hasta el momento tan esperado como estremecedor en el que ambas se encuentran frente a frente.
ENGLISH DESCRIPTION
In this striking, enormously affecting novel, Joyce Carol Oates tells the story of two very different and yet intimately linked American families. Luther Dunphy is an ardent Evangelical who envisions himself as acting out God’s will when he assassinates an abortion provider in his small Ohio town while Augustus Voorhees, the idealistic but self-regarding doctor who is killed, leaves behind a wife and children scarred and embittered by grief.
In her moving, insightful portrait, Joyce Carol Oates fully inhabits the perspectives of two interwoven families whose destinies are defined by their warring convictions and squarely-but with great empathy-confronts an intractable, abiding rift in American society.
A Book of American Martyrs is a stunning, timely depiction of an issue hotly debated on a national stage but which makes itself felt most lastingly in communities torn apart by violence and hatred.",,824,,"January 30th, 2018",https://www.bookpeople.com/book/9788420431680,https://images.booksense.com/images/680/431/9788420431680.jpg,bookpeople
9788439733164,Neruda. Poesía de amor. De tus caderas a tus pies quiero hacer un largo viaje / Love Poetry (POESÍA PORTÁTIL / Flash Poetry),Pablo Neruda,Literatura Random House,De Bolsillo,,"Description
El volumen Poesía de amor. De tus caderas a tus pies quiero hacer un largo viaje de la colección «Poesía portátil» reúne los mejores poemas de amor de Pablo Neruda.
El Premio Nobel de Literatura Pablo Neruda es uno de los poetas en lengua española más leídos por todos los públicos, un autor que consiguió grabar en la memoria de jóvenes y adultos unos versos que se transmiten de generación a generación.
Reunimos en este título algunos de los poemas de amor más emblemáticos de Neruda, desde sus primeros textos en Crepusculario o Veinte poemas de amor y una canción desesperada a sus Cien sonetos de amor.
«
Desnuda eres tan simple como una de tus manos,
lisa, terrestre, mínima, redonda, transparente.
»
ENGLISH DESCRIPTION
The volume Love Poetry: From Your Hips to your Feet, I Want to Make a Long Journey, from the collection ""Portable Poetry,"" gathers Pablo Neruda’s best love poems.
Nobel Prize winner Pablo Neruda is one of the most read Spanish-language poets in all crowds; an author who has managed to engrave verses in the minds of young and old alike, which are passed down from generation to generation. In this book, we have collected some of Neruda’s most emblematic love poems, from his first texts in Crepusculario and Twenty Love Poems and a Song of Despair to his One Hundred Love Sonnets.",,72,,"October 31st, 2017",https://www.bookpeople.com/book/9788439733164,https://images.booksense.com/images/164/733/9788439733164.jpg,bookpeople
9788466337892,Romancero Gitano / The Gypsy Ballads of Garcia Lorca,Federico García Lorca,Debolsillo,De Bolsillo,,"Description
La poesía de Lorca, encumbrada en su
Romancero gitano
, recorre paisajes, hurga en tradiciones y denuncia injusticias con la maestría de quien ha sabido utilizar la pluma como pocos, sin claudicar al paso del tiempo.
Sin lugar a dudas el
Romancero gitano
no es solo el gran libro de poesía del canon lorquiano sino también una de las obras poéticas más importantes de la cultura occidental, que ha convertido al poeta granadino en una de las figuras más destacadas de nuestra literatura, junto a Quevedo, Góngora o Juan Ramón Jiménez. A lo largo de los dieciocho romances que conforman el libro, Lorca hace gala del simbolismo que tanto le caracteriza -la luna, el agua, el cuchillo, la sangre, su mundo gitano, «el barco sobre la mar» y «el caballo en la montaña»- con el que ha fascinado, o casi hipnotizado, a generaciones de lectores de todo el mundo.
Salvador Dalí escribió...
«Federiquito, en el libro tuyo que me lo he llevado por esos sitios minerales de por aquí a leer, te he visto a ti, la bestiecita que eres, bestiecita erótica, con tu sexo y tus pequeños ojos de tu cuerpo, y tus pelos y tu miedo de la muerte, y tus ganas de que si te mueres se enteren todos los señores.»
ENGLISH DESCRIPTION
Federico García Lorca wrote the Gypsy Ballads between 1924 and 1927. When the book was published it caused a sensation in the literary world.
Drawing on the traditional Spanish ballad form, Lorca described his Romancero Gitano as 'the poem of Andalucía...A book that hardly expresses visible Andalusia at all, but where hidden Andalucía trembles'.
Seeking to relate the nature of his proud and troubled region of Spain, he drew on a traditional gypsy form; yet the homely, unpretentious style of these poems barely disguises the undercurrents of conflicted identity never far from Lorca's work.",,136,,"September 26th, 2017",https://www.bookpeople.com/book/9788466337892,https://images.booksense.com/images/892/337/9788466337892.jpg,bookpeople
9788490628188,El ruido y la furia / The Sound and the Fury,William Faulkner,Debolsillo,De Bolsillo,,"Description
«La vida no es más que una sombra... Una historia narrada por un necio, llena de ruido y furia, que nada significa.» Macbeth, Shakespeare
El ruido y la furia es una obra maestra de la literatura. Relata la degeneración progresiva de la familia Compson, sus secretos y las relaciones de amor y odio que la sostienen y la destruyen. Por primera vez, William Faulkner introduce el monólogo interior y revela los diferentes puntos de vista de sus personajes: Benjy, deficiente mental, castrado por sus propios parientes; Quentin, poseído por un amor incestuoso e incapaz de controlar los celos, y Jason, monstruo de maldad y sadismo. El libro se cierra con un apéndice que descubrirá al lector los entresijos de esta saga familiar de Jefferson, Mississippi, conectándola con otros personajes de Yoknapatawpha, territorio creado por Faulkner como marco de muchas de sus novelas.
ENGLISH DESCRIPTION
I give you the mausoleum of all hope and desire. . . . I give it to you not that you may remember time, but that you might forget it now and then for a moment and not spend all of your breath trying to conquer it. Because no battle is ever won he said. They are not even fought. The field only reveals to man his own folly and despair, and victory is an illusion of philosophers and fools."" —from The Sound and the Fury The Sound and the Fury is the tragedy of the Compson family, featuring some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character's voices and actions mesh to create what is arguably Faulkner's masterpiece and one of the greatest novels of the twentieth century.",,328,,"October 20th, 2015",https://www.bookpeople.com/book/9788490628188,https://images.booksense.com/images/188/628/9788490628188.jpg,bookpeople
